time,sted,htime,hast
0.177,0.03,0.218,0.18
0.259,0.05,0.291,0.23
0.323,0.06,0.35,0.27
0.378,0.08,0.402,0.31
0.426,0.09,0.448,0.34
0.471,0.11,0.491,0.37
0.511,0.12,0.53,0.4
0.549,0.14,0.567,0.42
0.585,0.15,0.602,0.45
0.619,0.16,0.635,0.47
0.651,0.18,0.666,0.49
0.681,0.2,0.696,0.51
0.711,0.21,0.725,0.53
0.739,0.22,0.753,0.54
0.767,0.24,0.78,0.56
0.794,0.26,0.807,0.58
0.82,0.27,0.832,0.6
0.845,0.29,0.857,0.61
0.869,0.3,0.881,0.63
0.893,0.32,0.904,0.65
0.916,0.33,0.927,0.66
0.939,0.35,0.95,0.68
0.961,0.36,0.972,0.69
0.982,0.37,0.993,0.71
1.004,0.39,1.014,0.72
1.024,0.4,1.035,0.73
1.045,0.42,1.055,0.75
